skuId,specAttrs,price,discountPrice,canBookCount
5446989327096,粉色;35*50,0.92,0.92,333
5446989327238,桔色;13*18,0.18,0.18,1036277
5783058881260,藏青色;25*35,0.45,0.45,1098677
5446989327248,金色;11*16,0.16,0.16,900456
5446989327103,白色;40*60,1.30,1.30,33751
5446989327187,酒红色;13*18,0.18,0.18,983715
5446989327143,红色;20*30,0.36,0.36,1019329
5446989327414,米色;7x9cm,0.09,0.09,245509
5446989327137,灰色;17*23,0.26,0.26,1079526
5446989327276,天蓝色;25*35,0.45,0.45,1091415
5446989327219,血牙色;20*30,0.36,0.36,1071597
5446989327260,混色;11*16,0.17,0.17,1065485
5446989327161,红色;9*12,0.13,0.13,430745
5446989327099,红色;25*35,0.45,0.45,1090813
5446989327261,深紫色;11*16,0.16,0.16,1068290
5446989327193,宝蓝色;13*18,0.18,0.18,1041358
5981448974149,薄荷绿;7x9cm,0.10,0.10,78638
5446989327259,玫红色;11*16,0.16,0.16,12210
5446989327309,深紫色;10*15,0.15,0.15,980537
5446989327138,黑色;17*23,0.26,0.26,967438
5446989327321,桔色;35*50,1.10,1.10,74
5446989327355,深紫色;10*12,0.14,0.14,0
5446989327140,橄榄绿;17*23,0.26,0.26,1054516
5446989327318,酒红色;35*50,0.92,0.92,1867
5783058881217,湖蓝色;17*23,0.26,0.26,1092353
5446989327277,血牙色;25*35,0.45,0.45,0
5446989327394,金色;8x10cm,0.12,0.12,11121
5446989327269,草绿色;25*35,0.45,0.45,1084274
5446989327373,草绿色;5x7cm,0.11,0.11,56429
5446989327169,酒红色;30*40,0.60,0.60,565
5446989327162,酒红色;9*12,0.13,0.13,871523
5783058881233,浅紫色;13*18,0.18,0.18,1030548
5446989327292,草绿色;30*40,0.60,0.60,97254
5446989327419,红色;7x9cm,0.09,0.09,709433
5446989327167,橄榄绿;9*12,0.13,0.13,941385
5981448974150,薄荷绿;5x7cm,0.11,0.11,8369
5446989327336,果绿色;15*20,0.23,0.23,1060331
5446989327176,红色;15*20,0.23,0.23,963245
5783058881239,湖蓝色;11*16,0.16,0.16,30647
5783058881236,藏青色;7x9cm,0.09,0.09,944853
5446989327423,粉色;7x9cm,0.09,0.09,21536
5783058881268,藏青色;8x10cm,0.12,0.12,9999
5446989327139,玫红色;17*23,0.26,0.26,1085964
5783058881227,浅紫色;30*40,0.60,0.60,1250
5446989327184,白色;13*18,0.18,0.18,7150471
5446989327222,草绿色;9*12,0.13,0.13,977170
5446989327204,粉色;15*20,0.23,0.23,805130
5783058881219,咖啡色;17*23,0.26,0.26,1086287
5783058881247,藏青色;20*30,0.36,0.36,1093382
5446989327429,深紫色;7x9cm,0.09,0.09,393434
5446989327379,桔色;5x7cm,0.11,0.11,18
5446989327306,粉色;10*15,0.15,0.15,84685
5981448974146,薄荷绿;10*15,0.15,0.15,89091
5446989327302,果绿色;10*15,0.15,0.15,278526
5446989327116,酒红色;25*35,0.45,0.45,1092116
5446989327353,混色;15*20,0.24,0.24,1069870
5446989327433,天蓝色;7x9cm,0.09,0.09,781234
5446989327135,酒红色;17*23,0.26,0.26,1068193
5446989327218,天蓝色;20*30,0.36,0.36,1029283
5783058881254,柠檬黄;11*16,0.16,0.16,0
5446989327352,混色;10*12,0.15,0.15,0
5446989327308,混色;10*15,0.16,0.16,494647
5446989327416,金色;7x9cm,0.09,0.09,204291
5446989327171,灰色;30*40,0.60,0.60,18000
5783058881250,浅紫色;11*16,0.16,0.16,1085053
5446989327428,混色;7x9cm,0.10,0.10,21890
5446989327225,粉色;9*12,0.13,0.13,566229
5783058881245,咖啡色;11*16,0.16,0.16,0
6094677339491,粉色;9*14,0.14,0.14,362
5446989327216,深紫色;20*30,0.36,0.36,1063508
5446989327186,红色;13*18,0.18,0.18,712956
5783058881232,湖蓝色;13*18,0.18,0.18,957613
5446989327367,白色;5x7cm,0.11,0.11,4659491
5446989327090,红色;30*40,0.60,0.60,1920
5446989327317,红色;35*50,0.92,0.92,350
5446989327244,白色;11*16,0.16,0.16,657318
5446989327418,草绿色;7x9cm,0.09,0.09,689317
5446989327378,粉色;5x7cm,0.11,0.11,519944
5446989327231,血牙色;9*12,0.13,0.13,962477
5446989327348,粉色;17*23,0.26,0.26,1042575
5446989327361,天蓝色;10*12,0.14,0.14,125
5446989327189,灰色;13*18,0.18,0.18,349505
5446989327362,天蓝色;15*20,0.23,0.23,1044473
5446989327354,混色;17*23,0.27,0.27,1089160
5446989327427,玫红色;7x9cm,0.09,0.09,749788
5446989327385,宝蓝色;5x7cm,0.11,0.11,587310
5446989327234,草绿色;13*18,0.18,0.18,1076351
5446989327121,宝蓝色;25*35,0.45,0.45,1093557
5446989327221,果绿色;9*12,0.13,0.13,988155
5446989327311,天蓝色;10*15,0.15,0.15,952177
5446989327210,果绿色;20*30,0.36,0.36,988034
5446989327356,深紫色;15*20,0.23,0.23,1085220
5783058881244,柠檬黄;25*35,0.45,0.45,1098088
5446989327312,血牙色;10*15,0.15,0.15,1051980
5446989327384,深紫色;5x7cm,0.11,0.11,560614
5446989327132,白色;17*23,0.26,0.26,372471
5783058881224,浅紫色;9*12,0.13,0.13,670718
5446989327232,米色;13*18,0.18,0.18,665738
5446989327340,草绿色;17*23,0.26,0.26,1021403
5446989327255,粉色;11*16,0.16,0.16,993818
5446989327365,血牙色;15*20,0.23,0.23,1081132
5446989327245,黑色;11*16,0.16,0.16,877088
5783058881235,湖蓝色;7x9cm,0.09,0.09,733449
5446989327149,宝蓝色;20*30,0.36,0.36,1052728
5783058881256,柠檬黄;15*20,0.23,0.23,1090097
5446989327265,天蓝色;11*16,0.16,0.16,1079353
5783058881253,柠檬黄;10*15,0.15,0.15,1006016
5446989327268,果绿色;25*35,0.45,0.45,1050794
5783058881218,浅紫色;17*23,0.26,0.26,1076319
5446989327388,天蓝色;5x7cm,0.11,0.11,43206
5783058881243,咖啡色;5x7cm,0.11,0.11,2793
5446989327391,黑色;8x10cm,0.12,0.12,663
5783058881240,柠檬黄;20*30,0.36,0.36,1097553
5446989327405,混色;8x10cm,0.13,0.13,0
5446989327272,桔色;25*35,0.45,0.45,1098355
5783058881246,藏青色;13*18,0.18,0.18,1079537
5446989327183,宝蓝色;15*20,0.23,0.23,1077743
5446989327191,玫红色;13*18,0.18,0.18,1046142
5446989327214,桔色;20*30,0.36,0.36,1056246
5783058881252,柠檬黄;9*12,0.13,0.13,987262
5446989327136,金色;17*23,0.26,0.26,1019226
